figure	panel	order	script	relation	purpose
Extended_Data_Figure_04	04b-04c	05	figures/Extended_Data_Figure_04/04b-04c/05_calculate_external_correlations.R	PANEL_CODE	Calculate study and external-dataset observed-versus-predicted correlations.
Extended_Data_Figure_04	04b-04c	05	figures/Extended_Data_Figure_04/04b-04c/05_plot_external_correlations.py	PANEL_CODE	Plot the external-validation correlation panels.
Extended_Data_Figure_04	04b-04c	06	figures/Extended_Data_Figure_04/04b-04c/06_plot_external_correlations.py	PANEL_CODE	Plot the external-validation correlation panels.
Extended_Data_Figure_04	04b-04c	06	figures/Extended_Data_Figure_04/04b-04c/06_run_external_correlation_plot.sh	PANEL_CODE	Run the external-validation correlation plot.
Extended_Data_Figure_04	04b-04c	07	figures/Extended_Data_Figure_04/04b-04c/07_run_external_correlation_plot.sh	PANEL_CODE	Run the external-validation correlation plot.
Extended_Data_Figure_04	04d	01	figures/Extended_Data_Figure_04/04d/01_plot_snap25_observed_predicted_counts.py	PANEL_CODE	Aggregate observed and predicted counts across tissues in the SNAP25 region and plot their correlation.
Extended_Data_Figure_04	04d	01	figures/Extended_Data_Figure_04/04d/01_plot_snap25_tracks.R	PANEL_CODE	Reusable locus-track plotter supporting the SNAP25 panel.
Extended_Data_Figure_04	04d	02	figures/Extended_Data_Figure_04/04d/02_run_snap25_observed_predicted_counts.sh	PANEL_CODE	Run the SNAP25 regional observed-versus-predicted counts plot with the submitted coordinates.
Extended_Data_Figure_04	04e	01	figures/Extended_Data_Figure_04/04e/01_plot_motif_category_qvalues_and_instances.R	PANEL_CODE	Compare motif-matching significance and total instance numbers between resolved and unresolved motifs.
Extended_Data_Figure_04	04f	01	figures/Extended_Data_Figure_04/04f/01_plot_tissue_motif_instance_summary.R	PANEL_CODE	Plot peak coverage, total instances and median instances per peak across tissues.
Extended_Data_Figure_04	04g	01	figures/Extended_Data_Figure_04/04g/01_plot_instances_vs_peak_count.R	PANEL_CODE	Plot total motif instances against ATAC-seq peak count; the source also generates two exploratory companion panels.
Extended_Data_Figure_04	04h	01	figures/Extended_Data_Figure_04/04h/01_plot_peak_summit_distance_proportions.R	PANEL_CODE	Plot motif-instance proportions across peak-summit distance bins; the submitted panel retains three selected motifs.
Extended_Data_Figure_05	05a	01	figures/Extended_Data_Figure_05/05a/01_plot_spink13_locus_tracks.R	PANEL_CODE	Reusable locus-track plotter supporting the SPINK13 panel.
Extended_Data_Figure_05	05b	01	figures/Extended_Data_Figure_05/05b/01_extract_spink13_network.py	PANEL_CODE	Extract representative network tables supporting the SPINK13 network panel.
Extended_Data_Figure_05	05d	01	figures/Extended_Data_Figure_05/05d/01_plot_crx_locus_tracks.R	PANEL_CODE	Reusable locus-track plotter supporting the CRX panel.
Extended_Data_Figure_06	06a-06c	01	figures/Extended_Data_Figure_06/06a-06c/01_plot_enhancer_gene_link_distributions.py	PANEL_CODE	Plot cumulative distributions of genes per enhancer, enhancers per gene and enhancer-gene distance.
Extended_Data_Figure_06	06d-06f	01	figures/Extended_Data_Figure_06/06d-06f/01_compare_expression_and_conservation.py	PANEL_CODE	Plot target-gene expression and enhancer phastCons and GERP comparisons; the source also plots tau and phyloP outputs not used in these panels.
Extended_Data_Figure_06	06g-06h	01	figures/Extended_Data_Figure_06/06g-06h/01_analyze_as_site_density_and_enrichment.py	PANEL_CODE	Plot allele-specific site density and enrichment; an additional percentage panel from the source is not used in the submitted figure.
Extended_Data_Figure_06	06i	01	figures/Extended_Data_Figure_06/06i/01_analyze_chrombpnet_significant_as_variants.py	PANEL_CODE	Plot the density and enrichment of ChromBPNet-significant ATAC-seq AS variants; the source also produces effect-size panels.
Extended_Data_Figure_06	06j	01	figures/Extended_Data_Figure_06/06j/01_analyze_motif_overlapping_as_variants.py	PANEL_CODE	Plot the density and enrichment of motif-overlapping ChromBPNet-significant ATAC-seq AS variants.
Extended_Data_Figure_06	06k-06n	01	figures/Extended_Data_Figure_06/06k-06n/01_compare_histone_as_effect_sizes.py	PANEL_CODE	Compare histone-mark AS effect sizes; panels 6k-6n use the H3K27ac, H3K4me1, H3K4me3 and H3K27me3 outputs.
Extended_Data_Figure_07	07	01	figures/Extended_Data_Figure_07/07/01_plot_local_gwas.py	PANEL_CODE	Plot the wool-scouring-rate local GWAS association panel with optional LD colouring.
Extended_Data_Figure_07	07	02	figures/Extended_Data_Figure_07/07/02_plot_gwas_locus_tracks.R	PANEL_CODE	Plot the regulatory locus tracks below the local GWAS panel.
Extended_Data_Figure_08	08	01	figures/Extended_Data_Figure_08/08/01_plot_local_eqtl.py	PANEL_CODE	Plot the omasum GAA and abomasum CAPN5 local eQTL association panels.
Extended_Data_Figure_08	08	02	figures/Extended_Data_Figure_08/08/02_plot_selection_variant_tracks.R	PANEL_CODE	Plot chromatin and ChromBPNet evidence.
Figure_02	02c	01	figures/Figure_02/02c/01_download_ena_fastq.sh	PANEL_CODE	Download RRBS/WGBS FASTQ files from ENA with restartable Aspera transfers.
Figure_02	02c	02	figures/Figure_02/02c/02_verify_fastq_md5.sh	PANEL_CODE	Compare local paired-end FASTQ MD5 values with ENA metadata.
Figure_02	02c	03	figures/Figure_02/02c/03_run_fastqc_multiqc.sh	PANEL_CODE	Run FastQC and aggregate raw-read quality metrics with MultiQC.
Figure_02	02c	04	figures/Figure_02/02c/04_prepare_bismark_references.sh	PANEL_CODE	Prepare sheep and lambda Bismark references and chromosome sizes.
Figure_02	02c	05	figures/Figure_02/02c/05_make_samplesheet.sh	PANEL_CODE	Create the paired-end RRBS/WGBS sample sheet.
Figure_02	02c	06	figures/Figure_02/02c/06_run_bismark_one_sample.sh	PANEL_CODE	Trim, align, deduplicate WGBS reads, and extract methylation calls for one sample.
Figure_02	02c	07	figures/Figure_02/02c/07_run_bismark_array.sbatch	PANEL_CODE	Run one methylation sample per SLURM array task.
Figure_02	02c	08	figures/Figure_02/02c/08_submit_bismark_array.sh	PANEL_CODE	Submit the complete methylation sample set as a bounded SLURM array.
Figure_02	02c	09	figures/Figure_02/02c/09_summarize_state_methylation.sh	PANEL_CODE	Match each sample to its tissue annotation and calculate weighted methylation for E1-E11.
Figure_02	02c	10	figures/Figure_02/02c/10_plot_state_methylation.R	PANEL_CODE	Plot the Figure 2c E1-E11 methylation distributions without dropping E11 or high values.
Figure_02	02c	11	figures/Figure_02/02c/11_validate_methylation_outputs.sh	PANEL_CODE	Check sample outputs, coverage files, E1-E11 completeness, uniqueness, and value ranges.
Figure_02	02d	01	figures/Figure_02/02d/01_merge_chromatin_states.sh	PANEL_CODE	Merge chromatin-state intervals across tissues.
Figure_02	02d	02	figures/Figure_02/02d/02_remove_blacklist.sh	PANEL_CODE	Remove blacklist intervals.
Figure_02	02d	03	figures/Figure_02/02d/03_quantify_h3k27ac.sh	PANEL_CODE	Quantify H3K27ac signal over candidate enhancers.
Figure_02	02d	04	figures/Figure_02/02d/04_standardize_count_headers.py	PANEL_CODE	Standardize count-table sample names.
Figure_02	02d	05	figures/Figure_02/02d/05_prepare_expression_tables.py	PANEL_CODE	Prepare expression and regulatory-signal matrices.
Figure_02	02d	06	figures/Figure_02/02d/06_edger_cpm_normalization.R	PANEL_CODE	Normalize H3K27ac counts to CPM.
Figure_02	02d	07	figures/Figure_02/02d/07_run_enhancer_gene_correlation.sh	PANEL_CODE	Run enhancer-gene correlation analysis by state.
Figure_02	02d	08	figures/Figure_02/02d/08_correlate_enhancers_with_genes.py	PANEL_CODE	Calculate distance-constrained enhancer-gene correlations and FDR.
Figure_02	02e	01	figures/Figure_02/02e/01_summarize_enhancer_gene_links.py	PANEL_CODE	Summarize enhancer degree, gene degree, distance and correlation.
Figure_02	02e	02	figures/Figure_02/02e/02_run_link_summary.sh	PANEL_CODE	Run the enhancer-gene summary script.
Figure_02	02g	01	figures/Figure_02/02g/01_define_target_gene_groups.sh	PANEL_CODE	Define top, middle and bottom target-gene groups.
Figure_02	02g	02	figures/Figure_02/02g/02_select_group_thresholds.py	PANEL_CODE	Select target-gene group thresholds.
Figure_02	02g	03	figures/Figure_02/02g/03_plot_go_enrichment.R	PANEL_CODE	Plot GO enrichment.
Figure_02	02j-02k	01	figures/Figure_02/02j-02k/01_plot_multitissue_tracks.R	PANEL_CODE	Reusable multi-tissue locus-track plotter.
Figure_02	02j-02k	01	figures/Figure_02/02j-02k/01_prepare_sheep_juicer_reference.sh	PANEL_CODE	Prepare the sheep BWA reference, chromosome sizes, and MboI restriction map.
Figure_02	02j-02k	02	figures/Figure_02/02j-02k/02_run_juicer_one_sample.sh	PANEL_CODE	Run the CPU Juicer workflow for one sheep Hi-C sample.
Figure_02	02j-02k	02	figures/Figure_02/02j-02k/02_run_multitissue_tracks.sh	PANEL_CODE	Example runner for the reusable locus-track plotter.
Figure_02	02j-02k	03	figures/Figure_02/02j-02k/03_run_juicer_array.sbatch	PANEL_CODE	Run one sheep Hi-C sample per SLURM array task.
Figure_02	02j-02k	04	figures/Figure_02/02j-02k/04_submit_juicer_array.sh	PANEL_CODE	Submit all sheep Hi-C samples as a bounded SLURM array.
Figure_02	02j-02k	05	figures/Figure_02/02j-02k/05_collect_juicer_qc.sh	PANEL_CODE	Collect valid pairs, duplicate rate, cis/trans balance, long-range contacts, and distance decay.
Figure_02	02j-02k	06	figures/Figure_02/02j-02k/06_filter_and_plot_hic_qc.py	PANEL_CODE	Apply strict and relaxed Hi-C QC filters and plot sample-level diagnostics.
Figure_02	02j-02k	08	figures/Figure_02/02j-02k/08_build_group_hic_maps.sh	PANEL_CODE	Merge selected valid-pair files and build normalized MAPQ30 group contact maps.
Figure_02	02j-02k	09	figures/Figure_02/02j-02k/09_dump_figure2_hic_regions.sh	PANEL_CODE	Export the chr6 regions displayed in Figure 2j and the TMPRSS11A Figure 2k locus.
Figure_02	02j-02k	10	figures/Figure_02/02j-02k/10_validate_hic_outputs.sh	PANEL_CODE	Validate individual and merged .hic files by extracting a chr6 contact matrix.
Figure_03	03a	01	figures/Figure_03/03a/01_train_chrombpnet_bias_models.sh	PANEL_CODE	Train per-tissue bias models on the /data cluster.
Figure_03	03a	02	figures/Figure_03/03a/02_train_chrombpnet_models.sh	PANEL_CODE	Train per-tissue ChromBPNet models on the /data cluster.
Figure_03	03a	03	figures/Figure_03/03a/03_compute_contributions_and_modisco.sh	PANEL_CODE	Compute contribution scores and run TF-MoDISco.
Figure_03	03a	04	figures/Figure_03/03a/04_predict_accessibility_bigwigs.sh	PANEL_CODE	Generate observed and predicted accessibility bigWigs.
Figure_03	03b	01	figures/Figure_03/03b/01_extract_model_metrics.py	PANEL_CODE	Extract the per-tissue ChromBPNet evaluation metrics.
Figure_03	03b	02	figures/Figure_03/03b/02_calculate_observed_predicted_correlations.R	PANEL_CODE	Calculate observed-versus-predicted correlations.
Figure_03	03c	01	figures/Figure_03/03c/01_extract_tissue_pfms.py	PANEL_CODE	Extract trimmed PFMs and seqlet metadata from per-tissue TF-MoDISco files.
Figure_03	03c	02	figures/Figure_03/03c/02_cluster_cross_tissue_motifs.sh	PANEL_CODE	Cluster motifs across tissues with GimmeMotifs.
Figure_03	03c	03	figures/Figure_03/03c/03_rename_and_join_clusters.py	PANEL_CODE	Rename clusters and join cluster assignments to motif annotations.
Figure_03	03c	04	figures/Figure_03/03c/04_merge_modisco_patterns.py	PANEL_CODE	Merge aligned TF-MoDISco patterns within cross-tissue clusters.
Figure_03	03c	05	figures/Figure_03/03c/05_compile_merged_patterns.py	PANEL_CODE	Compile merged patterns into HDF5 and tabular outputs.
Figure_03	03c	06	figures/Figure_03/03c/06_annotate_merged_patterns.py	PANEL_CODE	Annotate merged motifs with JASPAR/TomTom matches.
Figure_03	03c	07	figures/Figure_03/03c/07_run_motif_annotation.sh	PANEL_CODE	Run merged-motif annotation.
Figure_03	03c	08	figures/Figure_03/03c/08_plot_resolved_unresolved_motif_counts.R	PANEL_CODE	Plot the resolved and unresolved de novo motif counts shown in the submitted panel.
Figure_03	03d	01	figures/Figure_03/03d/01_prepare_heatmap_inputs.R	PANEL_CODE	Prepare seqlet, tissue-colour and motif-order tables.
Figure_03	03d	02	figures/Figure_03/03d/02_plot_clustered_motif_heatmap.R	PANEL_CODE	Cluster the 118 motifs and 43 tissues and plot the submitted ComplexHeatmap with marginal count bars.
Figure_03	03e	01	figures/Figure_03/03e/01_build_motif_summary_panels.R	PANEL_CODE	Build the motif-instance summary panels used in Fig. 3e and Supplementary Fig. 12a.
Figure_03	03f	01	figures/Figure_03/03f/01_merge_motif_hits_across_tissues.sh	PANEL_CODE	Merge motif hits across tissues for conservation profiling.
Figure_03	03f	02	figures/Figure_03/03f/02_compute_gerp_profiles.sh	PANEL_CODE	Compute centered GERP profiles for every motif.
Figure_03	03f	03	figures/Figure_03/03f/03_run_gerp_profiles.sh	PANEL_CODE	Run the GERP-profile calculation.
Figure_03	03f	04	figures/Figure_03/03f/04_plot_selected_motif_gerp.py	PANEL_CODE	Plot centered GERP profiles for selected motifs.
Figure_03	03f	05	figures/Figure_03/03f/05_run_selected_motif_gerp.sh	PANEL_CODE	Example invocation for a selected motif.
Figure_03	03g	01	figures/Figure_03/03g/01_run_chrombpnet_footprints.sh	PANEL_CODE	Prepare motif PWMs and run ChromBPNet footprint prediction.
Figure_03	03g	02	figures/Figure_03/03g/02_export_chrombpnet_footprints.py	PANEL_CODE	Export ChromBPNet footprint arrays to editable tables and plots.
Figure_03	03g	03	figures/Figure_03/03g/03_run_footprint_export.sh	PANEL_CODE	Run footprint export across tissues.
Figure_03	03g	04	figures/Figure_03/03g/04_run_tobias.sh	PANEL_CODE	Run TOBIAS correction and footprint scoring.
Figure_03	03g	05	figures/Figure_03/03g/05_plot_tobias_corrected_footprint.py	PANEL_CODE	Plot corrected TOBIAS footprint profiles; select thyroid and CTCF#2 for the submitted lower panel.
Figure_03	03h	01	figures/Figure_03/03h/01_plot_single_locus_tracks.R	PANEL_CODE	Plot observed, predicted, contribution, footprint and gene tracks.
Figure_03	03h	02	figures/Figure_03/03h/02_run_single_locus_tracks.sh	PANEL_CODE	Example command for a single-locus plot.
Figure_04	04a	01	figures/Figure_04/04a/01_build_network_one_tissue.sh	PANEL_CODE	Build a complete motif-enhancer-promoter-gene chain per tissue; panel 4a is a schematic.
Figure_04	04a	02	figures/Figure_04/04a/02_run_all_tissues.sh	PANEL_CODE	Run the network builder for every tissue.
Figure_04	04a	03	figures/Figure_04/04a/03_compile_all_tissues.sh	PANEL_CODE	Compile complete-chain networks across tissues.
Figure_04	04b	01	figures/Figure_04/04b/01_build_network_tables.sh	PANEL_CODE	Generate node and edge tables for downstream network visualization.
Figure_04	04b	02	figures/Figure_04/04b/02_compile_network_tables.sh	PANEL_CODE	Compile network tables across tissues.
Figure_04	04c	01	figures/Figure_04/04c/01_compile_network_tables_for_counts.sh	PANEL_CODE	Compile the ChromBPNet full-chain network tables used to count motifs, enhancers, promoters and genes by tissue.
Figure_04	04c	01	figures/Figure_04/04c/01_match_homer_and_deep_learning.py	PANEL_CODE	Match HOMER/FIMO and ChromBPNet/Fi-NeMo network chains for the composition summary.
Figure_04	04c	02	figures/Figure_04/04c/02_extract_overlap_networks.py	PANEL_CODE	Extract overlap-specific node, edge and complete-chain tables.
Figure_04	04c	03	figures/Figure_04/04c/03_label_unresolved_motifs.py	PANEL_CODE	Map unresolved motifs to TF-like labels.
Figure_04	04c	04	figures/Figure_04/04c/04_compile_homer_deep_learning_overlap.py	PANEL_CODE	Compile and deduplicate HOMER/deep-learning overlap tables.
Figure_04	04d	01	figures/Figure_04/04d/01_extract_representative_subnetworks.py	PANEL_CODE	Extract the tables used to select representative unresolved#12-SPINK13 and Sox3-CDH10 subnetworks.
Figure_04	04d	02	figures/Figure_04/04d/02_label_unresolved_motifs.py	PANEL_CODE	Map unresolved motif identifiers for representative subnetworks.
Figure_04	04f	01	figures/Figure_04/04f/01_plot_cdh10_locus_tracks.R	PANEL_CODE	Reusable locus-track plotter supporting the CDH10 genomic panel.
Figure_05	05a	01	figures/Figure_05/05a/01_plot_as_snp_density_circular.R	PANEL_CODE	Run plot as snp density circular.
Figure_05	05b	01	figures/Figure_05/05b/01_plot_functional_region_enrichment.R	PANEL_CODE	Run plot functional region enrichment.
Figure_05	05c	01	figures/Figure_05/05c/01_sandian_all_to_all.py	PANEL_CODE	Run sandian all to all.
Figure_05	05d	01	figures/Figure_05/05d/01_calculate_as_enrichment.py	PANEL_CODE	Calculate AS and ChromBPNet-significant AS enrichment ratios.
Figure_05	05d	02	figures/Figure_05/05d/02_run_as_enrichment.sh	PANEL_CODE	Run the AS-enrichment calculation.
Figure_05	05d	03	figures/Figure_05/05d/03_plot_as_vs_significant_as_enrichment.py	PANEL_CODE	Plot paired fold enrichment for all AS variants versus ChromBPNet-significant AS variants.
Figure_05	05e	01	figures/Figure_05/05e/01_as_snp_chrstate_fold_enrichment_raw_plain.py	PANEL_CODE	Run as snp chrstate fold enrichment raw plain.
Figure_05	05f	01	figures/Figure_05/05f/01_plot_enhancer_tissue_count_distribution.py	PANEL_CODE	Assign active enhancers to five tissue-sharing classes and plot their distribution.
Figure_05	05g	01	figures/Figure_05/05g/01_compare_enhancer_conservation.py	PANEL_CODE	Calculate enhancer conservation scores and plot the phyloP comparison used in panel 5g; the source also plots additional metrics.
Figure_05	05h	01	figures/Figure_05/05h/01_analyze_as_site_enrichment.py	PANEL_CODE	Calculate allele-specific site density and enrichment across enhancer-sharing classes; panel 5h uses the density component.
Figure_05	05i	01	figures/Figure_05/05i/01_overlap_sheep_variants_with_enhancers.py	PANEL_CODE	Count unique sheep SNP sites in each enhancer-sharing class.
Figure_05	05i	02	figures/Figure_05/05i/02_plot_snp_density_and_enrichment.py	PANEL_CODE	Plot unique-SNP density and Fisher enrichment across enhancer-sharing classes.
Figure_05	05j-05k	01	figures/Figure_05/05j-05k/01_compare_as_and_ase_effect_sizes.py	PANEL_CODE	Compare epigenomic AS and target-gene RNA-seq ASE effect sizes; panels 5j and 5k use the ATAC-seq and RNA-seq outputs.
Figure_05	05l	01	figures/Figure_05/05l/01_analyze_chrombpnet_significant_as_variants.py	PANEL_CODE	Calculate ChromBPNet-significant ATAC-seq AS-variant density; panel 5l uses the density component.
Figure_05	05m-05n	01	figures/Figure_05/05m-05n/01_FoldRichment.R	PANEL_CODE	Run FoldRichment.
Figure_05	05o	01	figures/Figure_05/05o/01_plot_local_gwas_eqtl.py	PANEL_CODE	Plot the local body-length GWAS and colon DCAF16 eQTL association panels, with optional panel-specific LD colouring.
Figure_05	05o	02	figures/Figure_05/05o/02_plot_regulatory_locus_tracks.R	PANEL_CODE	Plot the regulatory and ChromBPNet tracks below the local association panels.
Figure_06	06g	01	figures/Figure_06/06g/01_plot_local_gwas.py	PANEL_CODE	Plot the local body-length GWAS association panel with optional LD colouring.
Figure_06	06g	02	figures/Figure_06/06g/02_plot_regulatory_locus_tracks.R	PANEL_CODE	Plot the locus, epigenomic and ChromBPNet tracks below the local GWAS panel.
Figure_07	07a	01	figures/Figure_07/07a/01_sheep_pair_visuals.py	PANEL_CODE	Run sheep pair visuals.
Figure_07	07c	01	figures/Figure_07/07c/01_calculate_selection_enrichment.py	PANEL_CODE	Calculate chromatin-state enrichment for four selection scans.
Figure_07	07c	02	figures/Figure_07/07c/02_plot_selection_enrichment.py	PANEL_CODE	Create the selection-enrichment dot/box/heatmap plots.
Figure_07	07d	01	figures/Figure_07/07d/01_plot_selection_locus_tracks.R	PANEL_CODE	Plot chromatin and ChromBPNet tracks.
Figure_08	08a	01	figures/Figure_08/08a/Figure_08a_01_liftover_sheep_states_to_hg38.sh	PANEL_CODE	Project sheep chromatin-state intervals to hg38 for the Figure 8a analysis.
Figure_08	08a	01	figures/Figure_08/08a/Figure_08a_02_convert_hg38_to_hg19.sh	PANEL_CODE	Convert projected intervals from hg38 to hg19 for GWAS/LDSC annotations.
Figure_08	08b	01	figures/Figure_08/08b/Figure_08b_plot.py	PANEL_CODE	Plot the submitted human and sheep E1-E9 emission heatmaps.
Figure_08	08b-08d	01	figures/Figure_08/08b-08d/01_prepare_human_chromatin_states.sh	PANEL_CODE	Prepare human chromatin-state intervals for cross-species comparison.
Figure_08	08b-08d	02	figures/Figure_08/08b-08d/02_convert_hg38_hg19_coordinates.sh	PANEL_CODE	Convert human assemblies for cross-species comparison.
Figure_08	08c	01	figures/Figure_08/08c/Figure_08c_01_classify_CRE_E1_E9.sh	PANEL_CODE	Classify E1-E9 conserved regulatory elements represented in Figure 8c.
Figure_08	08d	01	figures/Figure_08/08d/Figure_08d_plot.py	PANEL_CODE	Plot the submitted CRE-class composition panel.
Figure_08	08d	01	figures/Figure_08/08d/Figure_08d_prepare_merged_classification.py	PANEL_CODE	Prepare the merged CRE-class composition table.
Figure_08	08e	01	figures/Figure_08/08e/Figure_08e_plot.py	PANEL_CODE	Plot the submitted phyloP comparison among CRE classes.
Figure_08	08e	01	figures/Figure_08/08e/Figure_08e_prepare_conservation_scores.py	PANEL_CODE	Calculate conservation scores consumed by Figure 8e.
Figure_08	08f	01	figures/Figure_08/08f/Figure_08f_plot.py	PANEL_CODE	Plot the submitted CRE-class GWAS UpSet panel.
Figure_08	08f-08g	01	figures/Figure_08/08f-08g/Figure_08f_08g_01_prepare_GWAS_plotting_table.py	PANEL_CODE	Prepare the LDSC/GWAS statistics table consumed by Figure 8f and 8g.
Figure_08	08f-08g	01	figures/Figure_08/08f-08g/Figure_08f_08g_02_summarize_LDSC_CTS.py	PANEL_CODE	Summarize cell-type-specific LDSC results for Figure 8f and 8g.
Figure_08	08g	01	figures/Figure_08/08g/Figure_08g_plot.py	PANEL_CODE	Plot the submitted sfCRE trait-by-tissue enrichment panel.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/notebooks/Fig8_final_plotting.ipynb	ANALYSIS_SUPPORT	Run Fig8 final plotting.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/run_workflow.sh	ANALYSIS_SUPPORT	Run run workflow.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/01_reclassify_e1_e9.sh	ANALYSIS_SUPPORT	Run reclassify e1 e9.
Figure_08	Shared_Workflows	02	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/02_hg38_to_hg19.sh	ANALYSIS_SUPPORT	Run hg38 to hg19.
Figure_08	Shared_Workflows	03	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/03_collect_e5_hg19.sh	ANALYSIS_SUPPORT	Run collect e5 hg19.
Figure_08	Shared_Workflows	04	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/04_reuse_human_tsr.sh	ANALYSIS_SUPPORT	Run reuse human tsr.
Figure_08	Shared_Workflows	05	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/05_label_cre_with_tsr.sh	ANALYSIS_SUPPORT	Run label cre with tsr.
Figure_08	Shared_Workflows	06	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/06_reuse_sheep_projection.sh	ANALYSIS_SUPPORT	Run reuse sheep projection.
Figure_08	Shared_Workflows	07	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/07_split_ldsc_beds.sh	ANALYSIS_SUPPORT	Run split ldsc beds.
Figure_08	Shared_Workflows	08	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/08_collect_gwas_beds.sh	ANALYSIS_SUPPORT	Run collect gwas beds.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/cre_pipeline/submit_stepwise_slurm.sh	ANALYSIS_SUPPORT	Run submit stepwise slurm.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/data_driven_diagnostic.py	ANALYSIS_SUPPORT	Run data driven diagnostic.
Figure_08	Shared_Workflows	01	figures/Figure_08/Shared_Workflows/Figure_08_CRE_GWAS/src/gwas_ldsc/data_driven_discovery.py	ANALYSIS_SUPPORT	Run data driven discovery.
